CORRECT_SENTENCE,ERRONEOUS_SENTENCE
Booraa iitay  maraa iita yelees,Booraa iixay  maraa iixa yelaas
Booray adokkaa aggidi sanggissaa laaccees,Booray adokkaa aggidi sanggissaa laaccaas
Booray bolana kadoy kaarana giduwan woota atta gees,Booray bolana kadoy kaarana giduwam wooxa axxa gaas
Booray booraara waretidi qambaraa menttes,Booray booraara warexidi qambaraa menxxes
Booray darin ogiya goyettees,Booray darim ogiya goyexxaas
Booray din gadee baa gadee din booray baa,Booray dim gadee baa gadee dim booray baa
Booray goyin paray mees,Booray goyim faray maas
Booray minno giishin suray minnees,Booray minno giihsim aasray minnaas
Booray sanggisaa laaccees,Booray sanggisaa laaccaas
Boriya erennaara ne aayee boota achcha ma yagawusu,Boriya erennaara ne aayee booxa acca ma yagawuaas
Bootta kutteessi soynne wosanna karenne wosana,Booxxa kuxxaasi soynne wosanna karenne wosana
Boottay yibbaataa woxxees,Booxxay yibbaaxaa woxxaas
Booza geela iya miizza heemiya na'a ara zinawusu,Booza geela iya miizza heemiya na'a ara zinawuaas
Booza kanay eessa kettaa gelees,Booza kanaw aasa kexxaa gelaas
Booza na'a ay ba aawa baliyani kaa es,Booza na'a ay ba aawa baliyani kaa es
Booza shoshshay naa a dukes,Booza hsohhssay naa o dukes
Boozay bari miizze ashshsuwappe attees,Boozay bari miizze ahhssaaswaffe axxaas
Boozay boyiya qayye midi ulluwa tama besses,Boozay boyiya qayye midi ulluwa xama besses
Booze dulliya kuttoy dukes,Booze dulliya kuxxoy dukes
Boozesi kayoy marka,Boozesi kayoy marka
Booziya duriin daboy yeelattees,Booziya duriim daboy yeelaxxaas
Borin ekkennaagee shocinkka ekkenna,Borim ekkennaagee hsocinkka ekkenna
Borkku boccin boccana xayinkka sulay attenna,Borkku boccim boccana xayinkka aaslay axxenna
Bosha layitti gawaray awucayees,Bohsa layixxi gawaray awucayaas
Boshshay siqqiyo aaye naata sulluwa tamay mees,Bohhssay siqqiyo aaye naaxa aaslluwa xamay maas
Boshshayi dossiyo mishire naata deele mees,Bohhssayi dossiyo mihsire naaxa deele maas
Boyee mall uwa daraari erees,Boyee mall uwa daraari eraas
Boyinaa shinqqe laxxa laxxa gees qeera duree,Boyinaa hsinqqe laxxa laxxa gaas qeera duree
Boyinay bayina bittane qunxxisenani mike gees,Boyinay bayina bixxane qunxxisenani mike gaas
Boyyee cuulliln boyina guujja gees,Boyyee cuullilm boyina guujja gaas
Boyyiya siiqiya uraa nattinaree gakkees,Boyyiya siiqiya uraa naxxinaree gakkaas
Buchchanne zerkkawusu godareenne zerkkees,Buccanne zerkkawuaas godareenne zerkkaas
Buchcho keten oy godariyan gattees,Bucco kexem oy godariyam gaxxaas
Buddeenaa minotay woxee gakkanaashiina,Buddeenaa minoxay woxee gakkanaahsiina
Bukkay carkkay aadhdhiis,Bukkay carkkay aaddiis
Bukkaydda bullaalay agaydda saamettay?,Bukkaykka bullaalay agaykka saamexxay?
Bukkiya iraanne yeliya machchiyo ixxoppa,Bukkiya iraanne yeliya macciyo ixxoffa
Bullachchan aqa yiid mishiriya ta naato inttena waani namisii gaasu,Bullaccam aqa yiid mihsiriya xa naaxo inxxena waani namisii gaaaas
Bulxxiya may buniya laaggay issuwa,Bulxxiya may buniya laaggay isaaswa
Burqqee ho  uwara oyqqees,Burqqee ho  uwara oyqqaas
Buttin harxxin basoy ordde,Buxxim harxxim basoy ordde
Bull enna kushshe bohuwawu minnes,Bull enna kuhhsse bohuwawu minnes
Buuchchan tisttin tiran xokkees,Buuccam xisxxim xiram xokkaas
Buuqay caalaa karees,Buuqay caalaa karaas
Buuri may buxulu gees,Buuri may buxulu gaas
Cachchay udulawu kehaa,Caccay udulawu kehaa
Caddana tooray kushshiyappe kiyidi erettees,Caddana xooray kuhhssiyaffe kiyidi erexxaas
Cadday dogiko caddetay dogenna,Cadday dogiko caddexay dogenna
Care aayiya ooso darukku shin baabiso daraawusu,Care aayiya ooso darukku hsim baabiso daraawuaas
Cariyaa yedhiin shodhdh iya zookkoy duxxees,Cariyaa yedhiim hsodd iya zookkoy duxxaas
Ceega bitanee elettees ta xanttaa oyqqanawu amottees,Ceega bixanee elexxaas xa xanxxaa oyqqanawu amoxxaas
Ceega mashshaa leefoppa,Ceega mahhssaa leepoffa
Ceega miizay puge danddayenna,Ceega miizay fuge danddayenna
Ceeggay ereena be ay erees,Ceeggay ereena be ay eraas
Ceeggida puxay wuygiya bookkees ooratta puxay wuygiya loyttees,Ceeggida fuxay wuygiya bookkaas ooraxxa fuxay wuygiya loyxxaas
Cimaa wottay shaluwa duuttees,Cimaa woxxay hsaluwa duuxxaas
Cincay cimmin eeyayi yekkees,Cincay cimmim eeyayi yekkaas
Cincca kiyana na'a ay uluwaan boccees,Cincca kiyana na'a ay uluwaam boccaas
Cincca kaniya shendderaa xaphon zin  awusu,Cincca kaniya hsendderaa xaphom zim  awuaas
Cincca kayisiyaa uncca masha wuqqawusu,Cincca kayisiyaa uncca mahsa wuqqawuaas
Cinccaa cirppi oyqqiyay cinccaa maahe,Cinccaa cirffi oyqqiyay cinccaa maahe
"Cinccattetti mettoppe ashshena, merettaa maqqoy diggena","Cinccaxxexxi mexxoffe ahhssena, merexxaa maqqoy diggena"
Cinccay manquwa digena,Cinccay manquwa digena
Coogay tamanne gallibane dabbo,Coogay xamanne gallibane dabbo
Ciimatetta daroy naatura xeegoyees,Ciimaxexxa daroy naaxura xeegoyaas
Colla cimmiyayinne gaashe xiixxiyay issuwa,Colla cimmiyayinne gaahse xiixxiyay isaaswa
Cooshay yini coora achchay teqqena,Coohsay yini coora accay xeqqena
Coray cuchidi wongiriyaa kunttees,Coray cuchidi wongiriyaa kunxxaas
Cuguwanne metuwa hokkidi aatteettees,Cuguwanne mexuwa hokkidi aaxxeexxaas
Curqqaayyiya worqqaayyiyo karawusu,Curqqaayyiya worqqaayyiyo karawuaas
Cuulettiday haattaakko metootiday dannaakko,Cuulexxiday haaxxaakko mexooxiday dannaakko
Dawuttee naata ixxiya mishiriya maattaa bidinttan xiggawusu,Dawuxxee naaxa ixxiya mihsiriya maaxxaa bidinxxam xiggawuaas
Dawuttiya huuphiya kurkkumada tohuwa gorppawusu,Dawuxxiya huuphiya kurkkumada xohuwa gorffawuaas
Daachcha uukkaydda komppawusu,Daacca uukkaykka komffawuaas
Daafaara diya kuttiya daguwa oottiya gawaraa bolli kiyawusu,Daapaara diya kuxxiya daguwa ooxxiya gawaraa bolli kiyawuaas
Daannay min hiyyeesay qanxxees,Daannay mim hiyyaasay qanxxaas
Daannay oychchin gomee diggees,Daannay oyccim gomee diggaas
Dabaabi dabbo giishin morkkees,Dabaabi dabbo giihsim morkkaas
Dada minotaa bone be ana,Dada minoxaa bone be ana
Dafara de'iya cadhdhee otuwara meeqqees,Dapara de'iya caddee oxuwara meeqqaas
Danggarssa woray oshinchcha pinzzees,Danggarssa woray ohsincca finzzaas
Dankkee dagattidi qasho kiyees,Dankkee dagaxxidi qahso kiyaas
Darii guurin darkkon wonttees,Darii guurim darkkom wonxxaas
Daro maana gay dabboppe attees,Daro maana gay dabboffe axxaas
Dawuron diya dabboy daannatettaa ekkin Wolayttan de'iya michchees hayttay kiyees,Dawurom diya dabboy daannaxexxaa ekkim Wolayxxam de'iya miccaas hayxxay kiyaas
De enna machchiya godoo gawusu,De enna macciya godoo gawuaas
De uwa daroy occuwa gazzaa beessees,De uwa daroy occuwa gazzaa baasaas
Degeeraa mal  oy biittaara mizees,Degeeraa mal  oy biixxaara mizaas
Deree denddin kawoy zaarenna,Deree denddim kawoy zaarenna
Diggana uray aawa oychcha gees,Diggana uray aawa oycca gaas
Doohaa ashoy oyddu muxo min oytamu biraa acoyees,Doohaa ahsoy oykku muxo mim oyxamu biraa acoyaas
Doonaappe kiyay xoossaakko gakkees,Doonaaffe kiyay xeessaakko gakkaas
Doonan gelay dorssan kiyenna,Doonam gelay dorssam kiyenna
Dose giishin donoy cuullees,Dose giihsim donoy cuullaas
Dulloy gawaraa worees,Dulloy gawaraa woraas
Eesotiya kuttiya samettawusu,aasoxiya kuxxiya samexxawuaas
Eessaa darenna mattay shidaa darees,aasaa darenna maxxay hsidaa daraas
Eessaa mattuw maattay zaarees,aasaa maxxuw maaxxay zaaraas
Eesuwa daroy booraa yeessees,Eeaaswa daroy booraa yaasaas
Eeyya kanay dadawu boccees,Eeyya kanaw dadawu boccaas
Eeyya shooshshay naa  a dukkees,Eeyya hsoohhssay naa  o dukkaas
Eeyyaa keettaa kuttoy erees,Eeyyaa keexxaa kuxxoy eraas
Eeyyay baasuwan keexxees,Eeyyay baaaaswam keexxaas
Ellelliday haattaa eretta gees,Ellelliday haaxxaa erexxa gaas
Equwan daday shaattiyo mittaa sa an wullin kanay xaallees,Equwam daday hsaaxxiyo mixxaa sa am wullim kanaw xaallaas
Eray era cimmees kanay shooqan zin  ees,Eray era cimmaas kanaw hsooqam zim  aas
Eray guutuwa na'eeyyay bo  aana,Eray guuxuwa na'eeyyay bo  aana
Erenna gereessay zaarishin metees,Erenna geraasay zaarihsim mexaas
Esoy baynna kaysoy ona keettaa bookkees,Esoy baynna kaysoy ona keexxaa bookkaas
Gaammuwa calay ceeggin koosuwa micceettees,Gaammuwa calay ceeggim kooaaswa micceexxaas
Gaanay de ishin gayttay miiccees,Gaanay de ihsim gayxxay miiccaas
Galati baynna iray gaalen bukkees,Galaxi baynna iray gaalem bukkaas
Garawiya sooppe kiyaydda dawuro gakkiyabaa milatawusu shin darkkon shemmppawusu,Garawiya sooffe kiyaykka dawuro gakkiyabaa milaxawuaas hsim darkkom hsemmffawuaas
Garay garaa dihin gezzee gaashiya qanxxees,Garay garaa dihim gezzee gaahsiya qanxxaas
Gato booray ga godaa zawawu dafees,Gaxo booray ga godaa zawawu dapaas
Geeshshawu geedoy keha,Geehhssawu geedoy keha
Geesi geeddara shin suntti mirooqa,Gaasi geeddara hsim aasnxxi mirooqa
Geleshshsoy geeman taawaa miizzay xeeta gees,Gelehhsssoy geemam xaawaa miizzay xeexa gaas
Geleshshuwa ogee kakan kessees,Gelehhsaaswa ogee kakam kezzaas
Gilqqiya gixxishin giyay laalettees,Gilqqiya gixxihsim giyay laalexxaas
Go  enna na'a I kiyo kumees,Go  enna na'a I kiyo kumaas
Godaa ammanida kuttiya hal  aa kiyawusu,Godaa ammanida kuxxiya hal  aa kiyawuaas
Godaree erenna biittaa biidi galbbaa hiixxa gees,Godaree erenna biixxaa biidi galbbaa hiixxa gaas
Gomee gooshshidi goromootiyan gattees,Gomee goohhssidi goromooxiyam gaxxaas
Gomiyawaa tuuqee worees,Gomiyawaa xuuqee woraas
Goshshaa darenna booray conchchaa dares,Gohhssaa darenna booray conccaa dares
Garawiya bawu yiya maattaa baqqa gussawusu,Garawiya bawu yiya maaxxaa baqqa gussawuaas
Gudunttay meecetti simmidi urqqan gonddorettees,Gudunxxay meecexxi simmidi urqqam gonddorexxaas
Haakko gin haa dares,Haakko gim haa dares
Haattay min haattaa wadhdhees,Haaxxay mim haaxxaa waddaas
Haddirssay son lagin son yelettees,Haddirssay som lagim som yelexxaas
Haree kace kessana biidi haytta muucettidi soo yees,Haree kace kezzana biidi hayxxa muucexxidi soo yaas
Haree paradan woxxinkka attenna,Haree faradam woxxinkka axxenna
Hareekka ba maran shemppees,Hareekka ba maram hsemffaas
Hareenne gomee oge erenna,Hareenne gomee oge erenna
Harggiya qosay xaliyappe attees,Harggiya qosay xaliyaffe axxaas
Hariya ashoy arssan wottin solddidi sa an wodhdhees,Hariya ahsoy arssam woxxim solddidi sa am woddaas
Hariya sanggisanawu paraa gonddorsseettees,Hariya sanggisanawu faraa gonddorsseexxaas
Hariya wozanan suray dees,Hariya wozanam aasray daas
Hariyan geemmidi godariya caddeettees,Hariyam geemmidi godariya caddeexxaas
Hayqqida haree godariyawu yayyenna,Hayqqida haree godariyawu yayyenna
Hayqqida hariyan awute ekkoppa,Hayqqida hariyam awuxe ekkoffa
Hayqqida na'a awu bayida paraa woyteettees,Hayqqida na'a awu bayida faraa woyxeexxaas
Hayqqin agganay daafurin yeekkees,Hayqqim agganay daapurim yeekkaas
Hayqqiyara cooyiyaro miiccawusu,Hayqqiyara cooyiyaro miiccawuaas
Hemetaa daroy xalahiya dubbushan kessees,Hemexaa daroy xalahiya dubbuhsam kezzaas
Hemettida tohoy dure uttida dullee manqqo,Hemexxida xohoy dure uxxida dullee manqqo
Henttaa ixxana nay lanqquwa ixxees,Henxxaa ixxana nay lanqquwa ixxaas
Henttay beennasa koshshay bees,Henxxay beennasa kohhssay baas
Hiillaa daroy xaphuwa qanxxees,Hiillaa daroy xaphuwa qanxxaas
Hiyyeesaynne hiraysoy gayttenna,Hiyyaasaynne hiraysoy gayxxenna
Hiyyeesi gaxan durees,Hiyyaasi gaxam duraas
Huuphee mohan deshidi dattan deshees,Huuphee moham dehsidi daxxam dehsaas
Iita kaloy namisaappe iita,Iixa kaloy namisaaffe iixa
Iitaa ixxo gin yeletti aqees,Iixaa ixxo gim yelexxi aqaas
Iitay iissi cayees,Iixay iissi cayaas
Iitay iita galla ashshees,Iixay iixa galla ahhssaas
Iitettana giya uri kunttiya hariyo garxxa gees,Iixexxana giya uri kunxxiya hariyo garxxa gaas
Iitidi aayyiyo aawaa worees keehidi giyan qocan woddhees,Iixidi aayyiyo aawaa woraas keehidi giyam qocam woddhaas
Iililssan iiti baa,Iililssam iixi baa
Imattaa iitawu badalaa shaashshaa,Imaxxaa iixawu badalaa hsaahhssaa
Imattaayyoo haasayay wurin ha gadiya giiray woysee gees,Imaxxaayyoo haasayay wurim ha gadiya giiray woysee gaas
Imattaayyoo haasayay wurin ha kanaa goynaa qanxxekketii gees,Imaxxaayyoo haasayay wurim ha kanaa goynaa qanxxekkexii gaas
Inxxarssaa liiqoy carshshaa kanttees,Inxxarssaa liiqoy carhhssaa kanxxaas
Irawu gelay kahuwa gishees,Irawu gelay kahuwa gihsaas
Ish isha gaden iri gukkoppe gees,Ihs ihsa gadem iri gukkoffe gaas
Ishsha gin haree wurii eqqees,Ihhssa gim haree wurii eqqaas
Issi miizzee goday guttumaa miikke gees,Issi miizzee goday guxxumaa miikke gaas
Issi miizzee gusoy dirssa miizzaa bashshees,Issi miizzee gusoy dirssa miizzaa bahhssaas
Issuwa son shendderay issuwa son shemppoy porees,Isaaswa som hsendderay isaaswa som hsemffoy foraas
Ixetay gixeto garxxissees,Ixexay gixexo garxxissaas
Ixxobay yelonaa gakkees,Ixxobay yelonaa gakkaas
Jaalaynne shaalay quccin kichchees,Jaalaynne hsaalay quccim kiccaas
Kaassa giishin kaasamoy na'a a yelees,Kaassa giihsim kaasamoy na'a o yelaas
Kacaama boorawu keettaa dooyuwa ixxoppa A kacee diggo,Kacaama boorawu keexxaa dooyuwa ixxoffa o kacee diggo
Kafoy ba biittaadan waassees,Kapoy ba biixxaadam waassaas
Kahoo katti maanaappe laaxa uutti maana,Kahoo kaxxi maanaaffe laaxa uuxxi maana
Kalissana qumay keriyan erettees,Kalissana qumay keriyam erexxaas
Kallay namisettaa erenna,Kallay namisexxaa erenna
Kalli miida hiyyeesay hayqqi aqees,Kalli miida hiyyaasay hayqqi aqaas
Kallida ganjjiya dagamay kanttenna,Kallida ganjjiya dagamay kanxxenna
Kallin pilay cammees,Kallim filay cammaas
Kallo kammenna kuttoy kallo woxxees,Kallo kammenna kuxxoy kallo woxxaas
Kaloy michchee xanttaa oyttees,Kaloy miccee xanxxaa oyxxaas
Kanaa kawoy seeriddi wuuqqees,Kanaa kawoy seeriddi wuuqqaas
Kanaa kiyuwan kasttollee xayenna,Kanaa kiyuwam kasxxollee xayenna
Kanaa uluwan oyssay aqenna,Kanaa uluwam oyssay aqenna
Kanaa xiskkoy ashuwa bolli onggees,Kanaa xiskkoy ahaaswa bolli onggaas
Kanaappe miichchay attaadan attees,Kanaaffe miiccay axxaadam axxaas
Kanay ba godaappe attin ba godaa godaa erenna,Kanay ba godaaffe axxim ba godaa godaa erenna
Kanay de ii de idikka godariyassa,Kanay de ii de idikka godariyassa
Kanay kanttosaara godaree gelees,Kanay kanxxosaara godaree gelaas
Kanay mehenne gedenna do anne gidenna,Kanay mehenne gedenna do anne gidanna
Kanay so uttidi haattaa waraa erees,Kanay so uxxidi haaxxaa waraa eraas
Kani piiqe ixaa ixxees,Kani fiiqe ixaa ixxaas
Kaniya ba gitta giigaara zammo guuray?,Kaniya ba gixxa giigaara zammo guuray?
Kaniya kallada sampan cooyawusu,Kaniya kallada sampam cooyawuaas
Kano shiya yedhdhaasa gin Ta koyiyyoy aybashin gees,Kano hsiya yeddaasa gim xa koyiyyoy aybahsim gaas
Kareera kafaafo ayyoo son buleera haloora manqqoo,Kareera kapaapo ayyoo som buleera haloora manqqoo
Kawo gedoora aadhdhida kanaykka kallees,Kawo gedoora aaddida kanaykka kallaas
Kawo kajjeeloy mishiriyo gello diggees,Kawo kajjeeloy mihsiriyo gello diggaas
Kawoy ta michcho geenna shin ta kawo michcho gawusu,Kawoy xa micco geenna hsim xa kawo micco gawuaas
Kawushsha bollotee karee dooya aqees,Kawuhhssa bolloxee karee dooya aqaas
Kawuwa gelana na'a iya saaqqatada uttawusu,Kawuwa gelana na'a iya saaqqaxada uxxawuaas
Kawuwa kajjeeloy mishiriyo geluwa diggees,Kawuwa kajjeeloy mihsiriyo geluwa diggaas
Kawuwa machchiyo marppee metees,Kawuwa macciyo marffee mexaas
Kawuwa marppe metees,Kawuwa marffe mexaas
Kaysoy ceeggiiddi machchee afalaa wuuqqees,Kaysoy ceeggiiddi maccee apalaa wuuqqaas
Kaysoy Hamuusa efin kanay Arbba booccees,Kaysoy Hamuusa epim kanaw Arbba booccaas
Kaysoy kalli aadhdhidi daalaa aattees,Kaysoy kalli aaddidi daalaa aaxxaas
Kaysoy xillanaadan caaqqees,Kaysoy xillanaadam caaqqaas
Kaysuwa gin yaa aappe denddees,Kayaaswa gim yaa aaffe denddaas
Kayyoy geela iyo amottees,Kayyoy geela iyo amoxxaas
Keettaa xoo ee soo gelin erettees,Keexxaa xoo ee soo gelim erexxaas
Keettay maccaasaara zadaloy miizzaara,Keexxay maccaasaara zadaloy miizzaara
Keexxi kessido na'a ay shooro gidees,Keexxi kessido na'a ay hsooro gidaas
Keha kawuwayyoo galla galla yeekkeettees,Keha kawuwayyoo galla galla yeekkeexxaas
Keha uri kere kaqqin gakkees,Keha uri kere kaqqim gakkaas
Kere qumaa wurssin aayee hayqoy erettees,Kere qumaa wurssim aayee hayqoy erexxaas
Killiyan xaamatida beexee olomuwan meqqees,Killiyam xaamaxida beexee olomuwam meqqaas
Kokkay uyana haattaa yoriay uyees,Kokkay uyana haaxxaa yoriay uyaas
Kosha laytti qaxxaraa gelidaagee ha layttappe kaly baawa gees,Kohsa layxxi qaxxaraa gelidaagee ha layxxaffe kaly baawa gaas
Koyro kiyida hayttay de ishin guyeppe kiyida kacee xoonees,Koyro kiyida hayxxay de ihsim guyeffe kiyida kacee xoonaas
Kushe kessennay kutto,Kuhse kessennay kuxxo
Kamiini kaa  oo wottinni dochcho,Kamiini kaa  oo woxxinni docco
Kallida uluwaa daggamii gellenna,Kallida uluwaa daggamii gellenna
Kushiya meeccin qanttay geeyyees,Kuhsiya meeccim qanxxay geeyyaas
Kuttoy booddiiddi baawaa meqettaa kessees,Kuxxoy booddiiddi baawaa meqexxaa kezzaas
Laafa kanay soo simmidi boccees,Laapa kanaw soo simmidi boccaas
Laafa maadday yimppo ekkees,Laapa maadday yimffo ikka as
Laafa na'a I laataa naagees,Laapa na'a I laaxaa naagaas
Laafa shooroy tama garttiya diggees,Laapa hsooroy xama garxxiya diggaas
Laafa tamay punnishin to ees,Laapa xamay funnihsim xo aas
Laafana haattay kanaa mees,Laapana haaxxay kanaa maas
Laafay yimppidaa ashammees,Laapay yimffidaa ahsammaas
Lanccee laakkontta soo aayyiyo lakko boynaappe ashshidi kuuchcha shaashshan waretisses,Lanccee laakkonxxa soo aayyiyo lakko boynaaffe ahhssidi kuucca hsaahhssam warexisses
"Lanccee oosuwayoo lo""oo","Lanccee ooaaswayoo lo""oo"
Laphphilaphphiya inxxarssay teggereera hayttaa baqissees,Laphphilaphphiya inxxarssay xeggereera hayxxaa baqissaas
Laytti hayqqana uray ha laytti uluwa duufuwakko zaaridi zin  ees,Layxxi hayqqana uray ha layxxi uluwa duupuwakko zaaridi zim  aas
Leehee naa  u qorqqoro haattaa uyidoogaa boynaa hayttay siyoppo,Leehee naa  u qorqqoro haaxxaa uyidoogaa boynaa hayxxay siyoffo
Lemisoy yohuwa duuttana xayikkonne laafettees,Lemisoy yohuwa duuxxana xayikkonne laapexxaas
Loytti gixxin qaxxi onggees,Loyxxi gixxim qaxxi onggaas
Ma ma gay biitti miizees,Ma ma gay biixxi miizaas
Maallado maaxaanan guurida uraa omarssi qolchchay gakkenna,Maallado maaxaanam guurida uraa omarssi qolccay gakkenna
Maammadu xaliya uyin orggozu geeyyees,Maammadu xaliya uyim orggozu geeyyaas
Maana goromootiya loomee gawusu,Maana goromooxiya loomee gawuaas
Maana xiilliyan usttana maattay gukkees,Maana xiilliyam usxxana maaxxay gukkaas
Maattaa mattuwa tooray zaarees,Maaxxaa maxxuwa xooray zaaraas
Maattaayee na'a aanne parssuwayee na'a aanne pudettan shaakka,Maaxxaayee na'a aanne farsaaswayee na'a aanne fudexxam hsaakka
Macca asa era magilaala qaraa,Macca asa era magilaala qaraa
Maccaasay dariyo keettan santtay lochchan ka  ees,Maccaasay dariyo keexxam sanxxay loccam ka  aas
Maccaasi maqqosan maati mokkenna,Maccaasi maqqosam maaxi mokkenna
Maccay katti giyo wode otoy aattii?,Maccay kaxxi giyo wode oxoy aaxxii?
Machcho wadhdha gin shugo wadhdhees,Macco wadda gim haasgo waddaas
Makkala azinay gooddidi wadhdhees,Makkala azinay gooddidi waddaas
Mal  ada shaatiyan ka  u,Mal  ada hsaaxiyam ka  u
Mal  etti kattin gusissi worees,Mal  exxi kaxxim gusissi woraas
Mal  o miida maccassiya katto kere laaccawusu,Mal  o miida maccassiya kaxxo kere laaccawuaas
Mal  o qummay hargiya zareenna macca na'a i basuwa uukkeena,Mal  o qummay hargiya zareenna macca na'a i baaaswa uukkeena
Mal  uwa maana giya qooree manqqettees,Mal  uwa maana giya qooree manqqexxaas
Manggaagi mal  o ekkin shakkali baqa eekkees,Manggaagi mal  o ekkim hsakkali baqa eekkaas
Manqqisana macchiya maxiniyadan mal awusu,Manqqisana macchiya maxiniyadam mal awuaas
Manqqoy manddishin duree mi kallees,Manqqoy manddihsim duree mi kallaas
Manqqoynne puusoy qottin qosettenna,Manqqoynne fuusoy qoxxim qosexxenna
Manqquwa mattuwa biittay zaarees,Manqquwa maxxuwa biixxay zaaraas
Maray tamma waassanaappe aayyiya issitoo daariyogee keha,Maray xamma waassanaaffe aayyiya issixoo daariyogee keha
Masqqalawu biida sawiya sa ay hagaakka gawusu,Masqqalawu biida sawiya sa ay hagaakka gawuaas
Mata bolloy woxan uttees,Maxa bolloy woxam uxxaas
Mattoy malaa moorees,Maxxoy malaa mooraas
Maxinee haattaa wadhdhana biidi bawu meetettees,Maxinee haaxxaa waddana biidi bawu meexexxaas
Maxiniyappe mal  oy baawa shin singgin sawenna,Maxiniyaffe mal  oy baawa hsim singgim sawenna
Miiday beddagaa gakkees,Miiday beddagaa gakkaas
Maxxenayaa muxennani mittess,Maxxenayaa muxennani mixxess
Maldduwanne shemppuwaa goraphphay,Maldduwanne hsemffuwaa goraphphay
Maanawu ottennay yaanawu qooppeenay yaarabaa,Maanawu oxxennay yaanawu qooffeenay yaarabaa
May mal  o erees maayay ho  o erees,May mal  o eraas maayay ho  o eraas
Meenna qumi sawo iita,Meenna qumi sawo iixa
